Tile Index,Sub-Tile Index,Building Density,Building Height Avg,Building Height Stdev,Tree Density,Tree Height Avg,Tree Height Stdev,Shadow Factor 8am (With CDSM),Shadow Factor 12pm (With CDSM),Shadow Factor 4pm (With CDSM),Sky View Factor (With CDSM),Shadow Factor 8am (Without CDSM),Shadow Factor 12pm (Without CDSM),Shadow Factor 4pm (Without CDSM),Sky View Factor (Without CDSM)
2534_1155,43,10.9125,4.343413352966309,1.7884843349456787,15.165000000000001,3.7456313880646226,3.8770357325978275,0.7124623,0.8145735,0.6980124,,0.88509154,0.9755002,0.8993362,
2534_1155,44,7.387499999999999,4.721827507019043,1.8797470331192017,19.825,4.4725094577553595,3.7959709685629637,0.7076104,0.8013294,0.6916068,,0.94194216,0.9876853,0.9388772,
2534_1156,00,22.37,6.664059162139893,3.434035062789917,18.5675,4.749966339033257,3.974956737870142,,,,,,,,
2534_1156,01,15.6975,7.337474346160889,3.325613498687744,15.5475,4.540440585303103,4.546283027938672,0.5137558,0.6865884,0.5487615,,0.82363904,0.9517225,0.83806765,
2534_1156,02,23.2025,5.303738594055176,2.819972038269043,24.3725,3.033131603241358,3.392507696654344,0.4897119,0.72846806,0.5308725,,0.74904895,0.94162893,0.8143852,
2534_1156,03,17.885,5.050042152404785,2.2306253910064697,24.55,4.678513238289206,4.4814856322229435,0.50638115,0.6876919,0.5246422,,0.7887533,0.974124,0.825428,
2534_1156,04,11.175,5.683444976806641,2.2795205116271973,29.3925,7.274049502424088,6.273507378562971,0.46791193,0.6627737,0.5311804,,0.7568442,0.94192386,0.8505465,
2534_1156,10,14.2425,4.670177459716797,2.040715456008911,19.195,3.8734045324303206,3.940838690754656,,,,,,,,
2534_1156,11,9.5025,4.912128448486328,2.1975955963134766,21.8525,4.8315982153071735,4.09944053726358,0.7363541,0.82688284,0.6671655,,0.8951639,0.9787785,0.88991946,
2534_1156,12,6.9175,4.842790126800537,2.1950936317443848,49.7875,8.908310318855134,6.036671657635139,0.1939232,0.37807402,0.21183129,,0.8578435,0.9688641,0.8616601,
